AIRPORT,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,RANKING
SACRAMENTO INTL,38.69542,-121.59077,8.0
DENVER INTL AIRPORT,39.85841,-104.667,1.0
EPPLEY AIRFIELD,41.30252,-95.89417,39.0
WASHINGTON DULLES INTL ARPT,38.94453,-77.45581,25.0
LA GUARDIA ARPT,40.77724,-73.87261,11.0
SAN ANTONIO INTL,29.53369,-98.46978,45.0
KANSAS CITY INTL,39.29761,-94.71391,14.0
DALLAS/FORT WORTH INTL ARPT,32.89595,-97.0372,2.0
NORMAN Y. MINETA SAN JOSE INTL ARPT,37.36186,-121.92901,42.0
LAMBERT-ST LOUIS INTL,38.74769,-90.35999,46.0
AUGUSTA REGIONAL ARPT AT BUSH FLD,33.36996,-81.9645,118.0
ALEXANDRIA INTL,31.32737,-92.54856,461.0
SYRACUSE HANCOCK INTL,43.11119,-76.10631,168.0
OAKLAND COUNTY INTL,42.6652,-83.41871,264.0
LOS ANGELES INTL,33.94254,-118.40807,19.0
WILLIAM P HOBBY ARPT,29.64542,-95.27889,41.0
SAN FRANCISCO INTL ARPT,37.619,-122.37484,27.0
CHICAGO MIDWAY INTL ARPT,41.78598,-87.75242,36.0
TERRE HAUTE INTL ARPT-HULMAN FIELD,39.45146,-87.30756,395.0
BUFFALO-NIAGARA INTL,42.94052,-78.73217,68.0
DENVER STAPLETON ARPT,39.8584,-104.767,317.0
DALLAS LOVE FIELD ARPT,32.84711,-96.85177,34.0
CLEVELAND-HOPKINS INTL ARPT,41.41089,-81.8494,26.0
DELAWARE COUNTY REGIONAL ARPT,40.24235,-85.39586,865.0
LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,29.99339,-90.25803,29.0
CHICAGO O'HARE INTL ARPT,41.9796,-87.90446,3.0
MANCHESTER AIRPORT,42.93452,-71.43706,134.0
EL PASO INTL ARPT,31.80667,-106.37781,103.0
PORTLAND INTL (OR),45.58872,-122.5975,23.0
BOB HOPE ARPT,34.20062,-118.3585,97.0
LONG BEACH-DAUGH FLD,33.81772,-118.15161,70.0
LANCASTER ARPT (PA),40.12172,-76.2961,447.0
PEORIA INTL ARPT,40.66424,-89.69331,98.0
SOUTHWEST FLORIDA INTL ARPT,26.53617,-81.75517,40.0
BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,39.1754,-76.6682,22.0
GOSHEN MUNICIPAL ARPT,41.52716,-85.7921,813.0
